ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2015-12-31,Z31122015,Saatlen,R00121,8508.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2015-12-31,2015-12-31,2015,121
2015-12-31,Z31122015,Hochschulen,R00012,641.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2015-12-31,2015-12-31,2015,12
2015-12-31,Z31122015,Hottingen,R00072,11081.0,Definitiv,Kreis 7 (ab 1934),R01300,2015-12-31,2015-12-31,2015,72
2015-12-31,Z31122015,Rathaus,R00011,3197.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2015-12-31,2015-12-31,2015,11
2015-12-31,Z31122015,Schwamendingen-Mitte,R00122,11315.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2015-12-31,2015-12-31,2015,122
2015-12-31,Z31122015,Enge,R00024,9257.0,Definitiv,Kreis 2 (ab 1893),R00200,2015-12-31,2015-12-31,2015,24
2015-12-31,Z31122015,Unterstrass,R00061,22226.0,Definitiv,Kreis 6 (ab 1934),R01200,2015-12-31,2015-12-31,2015,61
2015-12-31,Z31122015,Hard,R00044,13072.0,Definitiv,Kreis 4 (ab 1915),R00700,2015-12-31,2015-12-31,2015,44
2014-12-31,Z31122014,Wipkingen,R00102,15717.0,Definitiv,Kreis 10 (ab 1934),R01500,2014-12-31,2014-12-31,2014,102
2014-12-31,Z31122014,Saatlen,R00121,7563.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2014-12-31,2014-12-31,2014,121
2014-12-31,Z31122014,Sihlfeld,R00034,21195.0,Definitiv,Kreis 3 (ab 1915),R00600,2014-12-31,2014-12-31,2014,34
2014-12-31,Z31122014,Oberstrass,R00063,10556.0,Definitiv,Kreis 6 (ab 1934),R01200,2014-12-31,2014-12-31,2014,63
2014-12-31,Z31122014,Hochschulen,R00012,634.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2014-12-31,2014-12-31,2014,12
2014-12-31,Z31122014,Friesenberg,R00033,10695.0,Definitiv,Kreis 3 (ab 1915),R00600,2014-12-31,2014-12-31,2014,33
2014-12-31,Z31122014,Rathaus,R00011,3236.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2014-12-31,2014-12-31,2014,11
2014-12-31,Z31122014,Mühlebach,R00082,6107.0,Definitiv,Kreis 8 (ab 1915),R01100,2014-12-31,2014-12-31,2014,82
2014-12-31,Z31122014,Weinegg,R00083,5036.0,Definitiv,Kreis 8 (ab 1915),R01100,2014-12-31,2014-12-31,2014,83
